Year,Site,x,y,class
2022,WBNP-LOOP-07,59.80333,-111.9886,BOG/FEN
2022,WBNP-LOOP-08,59.79855,-111.98492,MW
2022,WBNP-PARS-01,59.72667,-112.18998,DA
2022,WBNP-PARS-02,59.73086,-112.18694,DA
2022,WBNP-PARS-03,59.72929,-112.1785,DA
2022,WBNP-PARS-04,59.72506,-112.18153,DA
2022,WBNP-PARS-05,59.70211,-112.1725,CP
2022,WBNP-PARS-06,59.70666,-112.1701,CP
2022,WBNP-PARS-07,59.7114,-112.17068,CP
2022,WBNP-PARS-08,59.71576,-112.16903,CP
2022,WBNP-PARS-09,59.95413,-112.45889,MW
2022,WBNP-PARS-10,59.95452,-112.44991,DA
2022,WBNP-PARS-11,59.9504,-112.45756,DA
2022,WBNP-PARS-12,59.95015,-112.44922,DA
2022,WBNP-PLR-01,59.58572,-112.26004,CS
2022,WBNP-PLR-02,59.58308,-112.25515,CS
2022,WBNP-PLR-03,59.57945,-112.25938,CS
2022,WBNP-PLR-04,59.58239,-112.26594,CS
2022,WBNP-SLRI-01,59.38907,-111.4647,MW
2022,WBNP-SLRI-02,59.35895,-111.4523,DA
2022,WBNP-SLRI-03,59.37011,-111.458874,MW
2022,WBNP-SLRI-04,59.35003,-111.454274,MW
2022,WBNP-SAPL-01,59.96645,-112.39746,BOG/FEN
2022,WBNP-SAPL-02,59.96233,-112.40363,CS
2022,WBNP-HWY-01,60.05326186,-113.2952425,MW
2022,WBNP-HWY-02,60.05632,-113.28933,MW
2022,WBNP-HWY-03,60.05957,-113.29544,MW
2022,WBNP-HWY-04,60.05622,-113.30203,MW
2022,WBNP-M99-01,60.1195239,-113.6716642,BOG/FEN
2022,WBNP-M99-02,60.1190393,-113.6626177,BOG/FEN
2022,WBNP-M99-03,60.1145422,-113.6632192,DA
2022,WBNP-M99-04,60.1150115,-113.6722897,MW
2023,HAY-01,59.72195,-111.548269,MW
2023,HAY-02,59.719868,-111.556449,MW
2023,HAY-03,59.725679,-111.55401,DA
2023,HAY-04,59.728733,-111.560141,BOG/FEN
2023,HWY-01,60.053228,-113.295327,MW
2023,HWY-02,60.05632,-113.28933,MW
2023,HWY-03,60.059548,-113.295405,MW
