"","sites","x2018","x2019","x2021","x2022","x2023","x2024","y2018","y2019","y2021","y2022","y2023","y2024","dist2018.2019","dist2019.2021","dist2021.2022","dist2022.2023","dist2023.2024","dist2018.2021","dist2019.2022","dist2021.2023","dist2022.2024","dist2018.2022","dist2019.2023","dist2021.2024","dist2018.2023","dist2019.2024","dist2018.2024"
"41","WBNP-LALA-28",-112.21216,NA,NA,NA,NA,NA,59.53067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","WBNP-LALA-29",-112.20939,NA,NA,NA,NA,NA,59.5331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","WBNP-LALA-30",-112.19811,NA,NA,NA,NA,NA,59.53329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","WBNP-LALA-31",-112.20356,NA,NA,NA,NA,NA,59.53388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","WBNP-LALA-39",NA,-112.18115,NA,NA,NA,NA,NA,59.530123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","WBNP-LALA-40",NA,-112.18946,NA,NA,NA,NA,NA,59.5297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","WBNP-LALA-41",NA,-112.17796,NA,NA,NA,NA,NA,59.52709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","WBNP-LALA-42",NA,-112.18642,NA,NA,NA,NA,NA,59.52533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","WBNP-LOOP-01",-112.029,-112.02818,-112.02818,-112.02818,NA,-112.02818,59.81031,59.81016,59.81016,59.81016,NA,59.81016,48.8453279021116,0,0,NA,NA,48.8453279021116,0,NA,0,48.8453279021116,NA,0,NA,0,48.8453279021116
"50","WBNP-LOOP-02",-112.0211,-112.02176,-112.02176,-112.02176,NA,-112.02176,59.80683,59.80611,59.80611,59.80611,NA,59.80611,88.2572413215512,0,0,NA,NA,88.2572413215512,0,NA,0,88.2572413215512,NA,0,NA,0,88.2572413215512
"51","WBNP-LOOP-03",NA,-112.0302,-112.0302,-112.0302,NA,-112.0302,NA,59.80625,59.80625,59.80625,NA,59.80625,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"52","WBNP-LOOP-04",NA,-111.98077,-111.98077,-111.98077,NA,-111.98077,NA,59.79486,59.79486,59.79486,NA,59.79486,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"53","WBNP-LOOP-05",NA,-111.97535,-111.97535,-111.97535,NA,-111.97535,NA,59.79133,59.79133,59.79133,NA,59.79133,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"54","WBNP-LOOP-06",NA,-111.99689,-111.99689,-111.99689,NA,-111.99689,NA,59.80189,59.80189,59.80189,NA,59.80189,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"55","WBNP-LOOP-07",NA,-111.9886,-111.9886,-111.9886,NA,-111.9886,NA,59.80333,59.80333,59.80333,NA,59.80333,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"56","WBNP-LOOP-08",NA,-111.98492,-111.98492,-111.98492,NA,-111.98492,NA,59.79855,59.79855,59.79855,NA,59.79855,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"57","WBNP-LOOP-13",-112.01282,NA,NA,NA,NA,NA,59.79638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","WBNP-LOOP-14",-112.00964,NA,NA,NA,NA,NA,59.79817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","WBNP-M99-01",NA,NA,-113.671539,-113.6716642,-113.6714,-113.6714,NA,NA,60.119393,60.1195239,60.11941,60.11941,NA,NA,16.1414417382067,19.3765406855879,0,NA,NA,7.93765143116948,19.3765406855879,NA,NA,7.93765143116948,NA,NA,NA
"60","WBNP-M99-02",NA,NA,-113.662568,-113.6626177,-113.662568,-113.662568,NA,NA,60.119074,60.1190393,60.11908,60.11908,NA,NA,4.74536176955823,5.30326417140621,0,NA,NA,0.667916944568125,5.30326417140621,NA,NA,0.667916944568125,NA,NA,NA
"61","WBNP-M99-03",NA,NA,-113.663208,-113.6632192,-113.66326,-113.66326,NA,NA,60.114597,60.1145422,60.11469,60.11469,NA,NA,6.13185813040787,16.6079277085037,0,NA,NA,10.7469844137283,16.6079277085037,NA,NA,10.7469844137283,NA,NA,NA
"62","WBNP-M99-04",NA,NA,-113.672179,-113.6722897,-113.6722,-113.6722,NA,NA,60.114916,60.1150115,60.11489,60.11489,NA,NA,12.2767800366739,14.4113856845765,0,NA,NA,3.11989625726499,14.4113856845765,NA,NA,3.11989625726499,NA,NA,NA
"63","WBNP-MILE-11",-113.6765,NA,NA,NA,NA,NA,60.13398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","WBNP-PARS-01",NA,-112.18998,-112.18998,-112.18998,NA,-112.18998,NA,59.72667,59.72667,59.72667,NA,59.72667,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"65","WBNP-PARS-02",NA,-112.18694,-112.18694,-112.18694,NA,-112.18694,NA,59.73086,59.73086,59.73086,NA,59.73086,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"66","WBNP-PARS-03",NA,-112.1785,-112.1785,-112.1785,NA,-112.1785,NA,59.72929,59.72929,59.72929,NA,59.72929,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"67","WBNP-PARS-04",NA,-112.18153,-112.18153,-112.18153,NA,-112.18153,NA,59.72506,59.72506,59.72506,NA,59.72506,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"68","WBNP-PARS-05",NA,-112.1725,-112.1725,-112.1725,NA,-112.1725,NA,59.70211,59.70211,59.70211,NA,59.70211,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"69","WBNP-PARS-06",NA,-112.1701,-112.1701,-112.1701,NA,-112.1701,NA,59.70666,59.70666,59.70666,NA,59.70666,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"70","WBNP-PARS-07",NA,NA,-112.17068,-112.17068,NA,-112.17068,NA,NA,59.7114,59.7114,NA,59.7114,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA
"71","WBNP-PARS-07 ",NA,-112.17068,NA,NA,NA,NA,NA,59.7114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","WBNP-PARS-08",NA,-112.16903,-112.16903,-112.16903,NA,-112.16903,NA,59.71576,59.71576,59.71576,NA,59.71576,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
