bsm_id,bsm_scientific_name,bsm_common_name,bsm_species_id,exists_in_wt
4877,Prinia gracilis,Graceful Prinia,,t
4878,Prinia hodgsonii,Grey-breasted Prinia,,t
4879,Prinia hypoxantha,Drakensberg Prinia,,f
4880,Prinia inornata,Plain Prinia,,t
4881,Prinia lepida,Delicate Prinia,,f
4882,Prinia maculosa,Karoo Prinia,,t
4883,Prinia polychroa,Brown Prinia,,t
4884,Prinia rufescens,Rufescent Prinia,,t
4885,Prinia rufifrons,Red-fronted Prinia,,f
4886,Prinia socialis,Ashy Prinia,,t
4887,Prinia striata,Striped Prinia,,f
4888,Prinia subflava,Tawny-flanked Prinia,,t
4889,Prinia superciliaris,Hill Prinia,,t
4890,Prinia sylvatica,Jungle Prinia,,t
4891,Prionochilus maculatus,Yellow-breasted Flowerpecker,,t
4892,Prionochilus thoracicus,Scarlet-breasted Flowerpecker,,f
4893,Prionochilus xanthopygius,Yellow-rumped Flowerpecker,,t
4894,Prionops plumatus,White Helmetshrike,,t
4895,Prionops retzii,Retz's Helmetshrike,,t
4898,Probosciger aterrimus,Palm Cockatoo,,t
4899,Procarduelis nipalensis,Dark-breasted Rosefinch,,t
4900,Procnias albus,White Bellbird,,t
4901,Procnias averano,Bearded Bellbird,,t
4902,Procnias nudicollis,Bare-throated Bellbird,,t
4904,Progne chalybea,Grey-breasted Martin,1289,t
4908,Promerops cafer,Cape Sugarbird,,t
4909,Prosopeia personata,Masked Shining-Parrot,,t
4910,Prosopeia tabuensis,Red Shining-Parrot,,f
4911,Prosthemadera novaeseelandiae,Tui,,t
4914,Prunella fulvescens,Brown Accentor,,t
4918,Prunella rubeculoides,Robin Accentor,,t
4919,Prunella strophiata,Rufous-breasted Accentor,,t
4920,Psalidoprocne pristoptera,Black Sawwing,,f
4922,Psarisomus dalhousiae,Long-tailed Broadbill,,t
4923,Psarocolius angustifrons,Russet-backed Oropendola,,t
4924,Psarocolius atrovirens,Dusky-green Oropendola,,t
